filename,block,kx,ky,value,error
example.out,chiafxx(q),0,0,0.238931016809336,0.0004605146713577554
example.out,chiafxx(q),0,1,0.07858786706213397,0.0003174509413368797
example.out,chiafxx(q),0,2,0.04648294795037156,0.0003936815159483262
example.out,chiafxx(q),0,3,0.04630935507745602,0.0004679496957520248
example.out,chiafxx(q),0,4,0.0464752564349385,0.0004981761852300552
example.out,chiafxx(q),1,1,0.09368052566899432,0.0002162704218842727
example.out,chiafxx(q),1,2,0.09155754769399002,0.0002234576459219599
example.out,chiafxx(q),1,3,0.08948950581175713,0.0002873021113161832
example.out,chiafxx(q),1,4,0.08873917003778672,0.0003239305468735497
example.out,chiafxx(q),2,2,0.159569310423745,0.0004265352169142572
example.out,chiafxx(q),2,3,0.159255327535207,0.0004316643144019366
example.out,chiafxx(q),2,4,0.159029083076813,0.0004382849026506654
example.out,chiafxx(q),3,3,0.253538684044548,0.0006666703745090073
example.out,chiafxx(q),3,4,0.255199352766169,0.0006826959754501769
example.out,chiafxx(q),4,4,0.753344521705323,0.0011259983552868
